TimeStamp,Fig_No,robotID,robotPosX,robotPosY,robotPos_RX,robotPos_RY,robotPos_BX,robotPos_BY,robotErrorX,robotErrorY,Zone,GoalIndex
1.0001262,,0,136,296,119.25,301.424,79.5341,296.884,-70,-4,1,0
118.007263,,0,135.896,295.738,119.126,301.236,79.4351,296.887,-70.1037,-4.26157,1,0
194.011264,,0,136.161,295.254,119.465,300.822,79.7043,296.621,-69.8394,-4.74582,1,0
271.015265,,0,145.246,295.924,129.334,301.672,88.7994,297.649,-60.7542,-4.07581,1,0
348.02266,,0,148.59,295.361,133.347,301.319,92.1627,297.636,-57.4103,-4.63882,1,0
425.024267,,0,151.796,296.173,136.275,302.016,95.3559,298.107,-54.2045,-3.82697,1,0
502.029268,,0,152.906,295.871,137.559,301.691,96.4616,297.658,-53.0938,-4.12924,1,0
579.033269,,0,154.375,296.004,138.673,301.758,97.9268,297.672,-51.6251,-3.99603,1,0
656.03827,,0,155.49,296.044,139.313,301.729,99.0401,297.635,-50.5096,-3.95563,1,0
733.042271,,0,155.715,295.65,140.416,301.584,99.2852,297.851,-50.2849,-4.34973,1,0
810.046272,,0,155.132,295.159,140.025,301.048,98.6931,297.119,-50.8681,-4.84055,1,0
887.051273,,0,155.894,295.752,139.946,301.538,99.4527,297.63,-50.1058,-4.24835,1,0
964.055274,,0,155.701,295.042,140.618,301.023,99.2752,297.35,-50.2991,-4.95807,1,0
1041.06275,,0,155.456,296.059,140.111,301.794,99.0024,297.52,-50.5437,-3.9411,1,0
1118.06276,,0,156.411,295.354,140.874,301.258,99.98,297.524,-49.5889,-4.64578,1,0
1195.07277,,0,156.619,296.051,141.235,301.868,100.175,297.837,-49.3806,-3.94897,1,0
1272.07278,,0,155.821,295.77,140.154,301.497,99.37,297.326,-50.1786,-4.23004,1,0
1349.08279,,0,156.125,295.963,140.318,301.629,99.6687,297.344,-49.8754,-4.03729,1,0
1426.0828,,0,156.425,295.998,140.433,301.69,99.9732,297.547,-49.5752,-4.00226,1,0
1503.09281,,0,156.878,295.694,141.554,301.527,100.435,297.522,-49.1216,-4.3063,1,0
1580.09282,,0,156.506,295.105,140.424,300.922,100.07,297.142,-49.4938,-4.89548,1,0
1697.1283,,0,156.073,296.103,140.342,301.828,99.6219,297.673,-49.9271,-3.89664,1,0
1774.1284,,0,160.695,296.236,144.471,301.854,104.238,297.602,-45.3052,-3.7641,1,0
1851.11285,,0,166.151,296.686,149.682,302.172,109.687,297.675,-39.849,-3.31369,1,0
1928.11286,,0,173.783,295.416,157.662,301.191,117.342,297.312,-32.2169,-4.58383,1,0
2005.11287,,0,176.239,296.547,159.31,302.076,119.781,297.865,-29.7615,-3.45334,1,0
2082.12288,,0,177.521,296.367,160.719,301.809,121.057,297.335,-28.4787,-3.63312,1,0
2159.12289,,0,176.891,297.463,160.091,302.747,120.419,297.876,-29.1093,-2.53656,1,0
2236.1329,,0,177.503,297.48,160.829,302.782,121.032,297.904,-28.4967,-2.51999,1,0
2313.13291,,0,177.096,297.088,160.429,302.498,120.629,297.887,-28.904,-2.91156,1,0
2389.14292,,0,177.744,296.916,161.023,302.314,121.277,297.695,-28.2557,-3.08444,1,0
2467.14293,,0,177.92,296.285,161.491,301.813,121.458,297.406,-28.0803,-3.71497,1,0
2544.15294,,0,178.001,296.306,161.625,302.006,121.554,298.021,-27.999,-3.69354,1,0
2621.15295,,0,178.545,296.584,161.98,302.091,122.083,297.686,-27.4547,-3.41577,1,0
2698.15296,,0,177.78,295.485,161.596,301.144,121.327,296.985,-28.2201,-4.51508,1,0
2775.16297,,0,178.321,297.293,161.934,302.747,121.854,298.134,-27.6791,-2.70657,1,0
2852.16298,,0,178.968,297.507,162.182,302.749,122.496,297.767,-27.0317,-2.49268,1,0
2929.17299,,0,178.498,296.179,161.917,301.528,122.027,296.725,-27.5025,-3.8208,1,0
3006.173,,0,178.969,297.129,162.87,302.504,122.498,297.558,-27.0313,-2.87061,1,0
3084.18301,,0,178.769,297.164,161.795,302.478,122.299,297.755,-27.231,-2.83609,1,0
3162.18302,,0,178.454,296.427,161.999,301.965,121.994,297.597,-27.5457,-3.57346,1,0
3279.19303,,0,179.147,296.672,162.85,302.232,122.687,297.859,-26.8526,-3.32849,1,0
3356.19304,,0,183.146,296.073,166.838,301.625,126.685,297.232,-22.8544,-3.92673,1,0
3433.2305,,0,188.059,296.386,172.036,301.989,131.599,297.621,-17.9413,-3.61398,1,0
3510.2306,,0,196.681,295.596,181.385,301.545,140.253,297.855,-9.31921,-4.40417,1,0
3587.21307,,0,198.848,294.017,183.52,300.231,142.47,297.292,-7.15225,-5.98254,1,0
3664.21308,,0,201.934,294.604,187.419,300.843,145.549,297.75,-4.0657,-5.39633,1,0
3741.21309,,0,202.99,293.775,188.336,300.13,146.635,297.42,-3.0099,-6.2251,1,0
3818.2231,,0,203.973,294.15,188.935,300.52,147.628,297.948,-2.02658,-5.84955,1,0
3896.22311,,0,203.978,294.392,189.477,300.787,147.631,298.159,-2.02196,-5.60809,1,0
3973.23312,,0,204.418,294.215,189.724,300.734,148.11,298.517,-1.58174,-5.78473,1,0
4050.23313,,0,204.913,294.498,190.307,300.866,148.56,298.183,-1.08714,-5.50241,1,0
4127.24314,,0,204.741,294.803,190.125,301.195,148.395,298.583,-1.25911,-5.19656,1,0
4204.24315,,0,204.443,294.119,190.085,300.499,148.09,297.785,-1.55663,-5.88071,1,0
4281.24316,,0,205.405,294.4,190.842,300.863,149.078,298.45,-0.594757,-5.60016,1,0
4358.25317,,0,205.433,294.801,190.642,301.21,149.095,298.693,-0.56665,-5.19904,1,0
4436.25318,,0,205.482,293.979,190.863,300.432,149.153,298.005,-0.517654,-6.02097,1,0
4513.26319,,0,205.506,294.447,190.699,300.827,149.16,298.23,-0.493942,-5.55286,1,0
4590.2632,,0,204.851,294.635,189.841,301.05,148.518,298.602,-1.14908,-5.36478,1,0
4668.27321,,0,205.298,293.946,190.435,300.376,148.966,297.935,-0.702225,-6.05405,1,0
4745.27322,,0,205.758,294.498,190.833,300.812,149.397,298.051,-0.242477,-5.5022,1,0
4842.28323,,0,205.224,294.692,190.67,301.158,148.898,298.755,-0.775955,-5.30841,1,1
4920.28324,,0,205.676,294.318,190.827,300.66,149.321,297.962,-194.324,-4.68246,1,1
