TimeStamp	Fig_No	robotID	robotPosX	robotPosY	robotPos_RX	robotPos_RY	robotPos_BX	robotPos_BY	robotErrorX	robotErrorY	Zone	GoalIndex	PhaseX	PhaseY	
1	0	0	454	516	459.56	509.114	451.973	502.272	244	-2	3	0	0	0	
58.0033	1	0	451.805	515.848	459.155	510.893	452.073	501.973	241.805	-2.15234	3	0	0	0	
114.007	2	0	454.419	516.103	459.817	509.104	451.676	502.5	244.419	-1.89655	3	0	15	0	
210.012	3	0	451.247	515.465	458.192	509.996	451.234	501.588	241.247	-2.53503	3	0	15	0	
266.015	4	0	452.833	515.145	460.656	510.389	451.166	501.368	242.833	-2.85504	3	0	14	0	
362.021	5	0	452.679	515.439	459.594	509.884	451.67	501.599	242.679	-2.56116	3	0	14	0	
419.024	6	0	452.54	515.566	458.988	509.523	451.757	501.711	242.54	-2.43414	3	0	13	0	
515.029	7	0	453.253	516.182	459.204	509.648	451.484	502.419	243.253	-1.81763	3	0	13	0	
571.033	8	0	453.603	515.813	459.144	508.924	451.214	502.143	243.603	-2.18744	3	0	12	0	
667.038	9	0	454.061	516.508	459.317	509.372	451.704	502.832	244.061	-1.49249	3	0	12	0	
723.041	10	0	453.155	515.446	459.112	508.918	451.005	501.737	243.155	-2.55365	3	0	11	0	
819.047	11	0	454.361	514.914	460.577	508.492	450.779	501.507	244.361	-3.08643	3	0	11	0	
875.05	12	0	451.856	515.797	457.959	509.355	451.434	501.927	241.856	-2.20264	3	0	10	0	
971.056	13	0	454.893	515.46	459.764	508.063	451.707	501.953	244.893	-2.54041	3	0	10	0	
1029.06	14	0	456.378	515.058	459.941	506.884	451.808	501.955	246.378	-2.94171	3	0	9	0	
1125.06	15	0	454.333	514.785	460.498	508.381	451.273	501.249	244.333	-3.21539	3	0	9	0	
1181.07	16	0	454.523	515.34	459.083	507.71	451.31	501.84	244.523	-2.66022	3	0	8	0	
1277.07	17	0	456.43	514.7	460.697	506.959	451.573	501.701	246.43	-3.2998	3	0	8	0	
1333.08	18	0	454.066	515.713	458.658	508.028	451.559	502.064	244.066	-2.28699	3	0	7	0	
1429.08	19	0	453.045	515.583	458.451	508.546	451.184	501.831	243.045	-2.4173	3	0	7	0	
1485.08	20	0	453.27	515.405	458.415	508.175	450.905	501.731	243.27	-2.59521	3	0	6	0	
1581.09	21	0	453.184	515.314	458.533	508.217	451.408	501.551	243.184	-2.68628	3	0	6	0	
1637.09	22	0	452.166	515.704	458.497	509.539	451.07	501.871	242.166	-2.29584	3	0	5	0	
1733.1	23	0	451.905	515.985	458.34	509.925	451.282	502.122	241.905	-2.0152	3	0	5	0	
1789.1	24	0	452.626	515.774	459.38	510.062	451.859	501.918	242.626	-2.22614	3	0	4	0	
1885.11	25	0	453.987	515.348	459.477	508.412	451.672	501.665	243.987	-2.65222	3	0	4	0	
1941.11	26	0	452.711	515.544	459.512	509.872	451.749	501.7	242.711	-2.4563	3	0	3	0	
2037.12	27	0	454.312	515.053	459.012	507.515	451.278	501.512	244.312	-2.94653	3	0	3	0	
2093.12	28	0	453.147	514.661	458.478	507.563	451.184	500.923	243.147	-3.33942	3	0	2	0	
2189.13	29	0	452.041	515.055	458.931	509.482	451.144	501.207	242.041	-2.94501	3	0	2	0	
2245.13	30	0	451.547	515.059	458.692	509.77	450.78	501.203	241.547	-2.9411	3	0	1	0	
2341.13	31	0	453.108	515.057	458.826	508.296	451.518	501.271	243.108	-2.94312	3	0	1	0	
2397.14	32	0	453.034	515.714	458.264	508.526	451.059	501.978	243.034	-2.28632	3	0	0	0	
2493.14	33	0	452.942	515.953	458.123	508.703	451.134	502.195	242.942	-2.04675	3	0	0	0	
2549.15	34	0	453.856	516.265	459.642	509.583	451.768	502.546	243.856	-1.73535	3	0	15	0	
2645.15	35	0	454.952	515.877	458.984	507.882	451.494	502.438	244.952	-2.12329	3	0	15	0	
2701.15	36	0	452.878	516.247	458.838	509.678	452.078	502.394	242.878	-1.75262	3	0	14	0	
2797.16	37	0	453.188	515.701	459.639	509.645	451.602	501.915	243.188	-2.29852	3	0	14	0	
2853.16	38	0	453.871	515.644	459.166	508.56	451.13	502.041	243.871	-2.35602	3	0	13	0	
2949.17	39	0	454.085	515.774	459.383	508.662	451.931	502.065	244.085	-2.22632	3	0	13	0	
3005.17	40	0	449.787	515.238	456.962	510.076	451.028	501.416	239.787	-2.76245	3	0	12	0	
3101.18	41	0	452.405	515.143	457.2	507.511	450.721	501.368	242.405	-2.85718	3	0	12	0	
3157.18	42	0	448.674	515.127	454.733	508.315	449.99	501.313	238.674	-2.87262	3	0	11	0	
3253.19	43	0	444.725	513.922	452.449	509.162	449.7	500.968	234.725	-4.07764	3	0	11	0	
3310.19	44	0	446.746	515.483	453.185	508.769	449.529	501.888	236.746	-2.51697	3	0	10	0	
3406.19	45	0	441.829	513.102	450.302	510.018	448.977	501.208	231.829	-4.89789	3	0	10	0	
3462.2	46	0	441	511.913	449.702	509.622	449.09	500.639	231	-6.08673	3	0	9	1	
3558.2	47	0	438.753	512.065	447.577	509.231	447.538	501.323	228.753	-5.93451	3	0	9	1	
3614.21	48	0	438.933	510.312	447.871	508.378	448.264	500.04	228.933	-7.68787	3	0	8	2	
3710.21	49	0	435.706	507.95	444.861	508.83	447.86	501.253	225.706	-10.0501	3	0	8	2	
3766.22	50	0	435.318	507.784	443.562	511.021	447.869	501.864	225.318	-10.216	3	0	7	3	
3862.22	51	0	433.64	506.269	441.087	511.053	447.075	502.796	223.64	-11.731	3	0	7	3	
3918.22	52	0	433.831	506.181	442.257	509.692	447.336	502.989	223.831	-11.8194	3	0	6	4	
4014.23	53	0	433.383	506.815	441.893	510.329	446.971	503.996	223.383	-11.1849	3	0	6	4	
4070.23	54	0	433.211	504.297	439.653	510.623	447.016	505.71	223.211	-13.7028	3	0	5	5	
4166.24	55	0	433.033	503.897	437.812	511.334	446.764	505.908	223.033	-14.1027	3	0	5	5	
